Average Votes Cast,Traditional Meaningful Votes,Ranked Choice Meaningful Votes,Ranked Choice Total Participants,Number Candidates,Politics Dimension,Max Duty,Number of Ranking Positions,c_0,dc,F,dif,Candidate Fraction Ranked,Estimator
1.8018617021276595,617,419,752,13,5,0.1977532828220374,13,0.1581153788850865,0.166219911046775,0.0473233997132026,-198,0.13860474631751227,27.36577460106383
2.743119266055046,644,640,654,6,4,0.4623546240192022,6,0.1817757414386664,0.1475185574109791,0.0060391063638374,-4,0.45718654434250766,27.77408256880734
3.4753086419753085,707,526,810,12,3,0.8279761550462276,12,0.3633534275500161,0.1986390417743454,0.0489546776897321,-181,0.28960905349794236,23.458333333333332
1.853658536585366,134,361,492,5,1,0.3461443165805858,5,0.8397924051547725,0.2612494869424441,0.0435744295330285,227,0.37073170731707317,5.560975609756098
3.74017094017094,540,582,585,7,4,0.7260899836406702,10,0.4387985834369282,0.1829106560660397,0.0524493901828738,42,0.5343101343101343,37.86923076923077
2.9024024024024024,500,666,666,3,1,0.8669343243248735,10,0.8545252321512978,0.0973157227500021,0.0798237959597031,166,0.9674674674674675,8.707207207207208
3.983225806451613,674,594,775,14,4,0.8726045526649757,14,0.4735814591106098,0.2007871143632584,0.0977816753723434,-80,0.2845161290322581,40.33016129032258
3.0071942446043165,804,834,834,4,3,0.4570615939952221,7,0.2362226227906207,0.1311163227594643,0.0678755613447727,30,0.7517985611510791,20.298561151079138
7.0,425,439,439,7,5,0.7754776387993767,7,0.5194526617885337,0.0297193324460544,0.042124340977109,14,1.0,106.3125
5.574098798397864,130,527,749,13,1,0.6865360065975413,13,0.947057125209228,0.1069259139581963,0.0327941074610557,397,0.4287768306459895,16.72229639519359
5.951456310679611,233,637,721,15,2,0.5672817180295701,15,0.6393168005088402,0.0914482623635417,0.069301686522341,404,0.3967637540453074,26.78155339805825
6.789954337899544,153,671,876,17,1,0.3049610006281154,17,0.9286985761119771,0.0680885860473005,0.0590349633650885,518,0.39940907869997316,20.36986301369863
3.123684210526316,542,757,760,6,2,0.5416969855277849,8,0.5198827955195744,0.2003959760035243,0.0920666190345902,215,0.5206140350877193,14.056578947368422
3.084398976982097,397,360,782,17,2,0.6886196228934677,17,0.5820316401928095,0.2382438329104606,0.0519971652888901,-37,0.18143523394012337,13.879795396419437
4.972903225806451,627,766,775,9,4,0.1214473286301685,9,0.1310973524398496,0.0289827297051077,0.0462927213602471,139,0.5525448028673835,50.35064516129032
4.184475806451613,551,696,992,12,1,0.5906904077747235,12,0.639573517918557,0.1921942935424499,0.0778395986751117,145,0.34870631720430106,12.55342741935484
2.0311475409836066,193,586,610,5,1,0.3994713000896188,10,0.633224488162539,0.2448115849866713,0.0378081903954042,393,0.4062295081967213,6.093442622950819
2.4442953020134226,732,638,745,10,5,0.7650283377556563,10,0.2411943690654767,0.2606474313730974,0.0196380934038832,-94,0.24442953020134225,37.122734899328854
6.289419087136929,380,868,964,14,1,0.5231470179112965,14,0.7208972806010402,0.1030995565412285,0.0820128980161904,488,0.4492442205097807,18.86825726141079
3.4551282051282053,553,420,624,14,2,0.8579684232797509,14,0.4357126530331184,0.2114133340209456,0.0099012308200393,-133,0.2467948717948718,15.548076923076923
4.668,810,1000,1000,5,1,0.1663837087306569,5,0.2541676040043442,0.0316141076606887,0.0676626465153705,190,0.9336,14.004000000000001
4.848797250859106,865,745,873,13,4,0.6649995890661333,13,0.1161031254101779,0.089144717679564,0.0096200957240359,-120,0.3729844039122389,49.09407216494845
2.0,168,180,180,3,4,0.4653429184905098,5,0.4286447666350259,0.2397774296583841,0.0217703512852567,12,0.6666666666666666,20.25
7.678807947019868,123,302,302,9,5,0.2002353281290467,10,0.3041266326645159,0.0282968907479674,0.0762913929040209,179,0.8532008830022075,116.62189569536424
8.054,708,1000,1000,10,1,0.8910247859570682,10,0.7098254915577574,0.0782458097054055,0.0904153390173567,292,0.8054,24.162
14.209150326797385,140,304,306,15,3,0.6608728364422567,15,0.6810888003267578,0.0381901333978417,0.0433943889136104,164,0.947276688453159,95.91176470588235
1.427536231884058,873,279,966,14,3,0.2192267043949168,14,0.0776173580583791,0.1899398946092127,0.0213295289021211,-594,0.10196687370600414,9.635869565217392
2.983,438,664,1000,10,1,0.3311711853826988,10,0.6089361662766107,0.2661743803527614,0.0963563561586626,226,0.2983,8.949
5.0,718,729,729,5,4,0.9601692709177228,10,0.3327312477668308,0.000544715880667,0.0235649015476159,11,1.0,50.625
5.591341077085533,718,711,947,16,2,0.805147085233247,16,0.4609192784286635,0.1260152597319946,0.0772286665204279,-7,0.34945881731784584,25.1610348468849
5.470426409903714,618,646,727,13,4,0.7164028504409031,13,0.4382439230817427,0.1175836592385733,0.0884062109524212,28,0.42080203153105494,55.388067400275105
3.836144578313253,797,770,830,11,5,0.9739572908161104,11,0.2890756405733674,0.1961834129922996,0.061015231225394,-27,0.3487404162102957,58.26144578313253
3.0393145161290325,446,534,992,15,2,0.039651759138265,15,0.091771473360331,0.0431501509706044,0.0260483645503798,88,0.2026209677419355,13.676915322580646
1.6107784431137724,823,378,835,14,5,0.5793279501151813,14,0.1115161567759309,0.2917679315235754,0.0066914958388227,-445,0.11505560307955517,24.46369760479042
2.601984564498346,374,483,907,11,1,0.4202813004145722,11,0.465959942511261,0.2529643447096612,0.0346949156451242,109,0.23654405131803147,7.805953693495038
8.741865509761388,394,460,461,16,4,0.6643344996318079,16,0.4514935963507123,0.0654243473456713,0.0366732983976375,66,0.5463665943600867,88.51138828633405
